,id,name,terminalName,lat,long,installed,locked,installDate,removalDate,temporary,nbBikes,nbEmptyDocks,nbDocks
155,160,"Waterloo Place, St. James's",003458,51.50663341,-0.131773845,true,false,1279274280000,,false,7,13,20
156,161,"Guildhouse Street, Victoria",003478,51.49234577,-0.141334487,true,false,1279286940000,,false,13,1,16
157,162,"Southampton Place, Holborn",001123,51.51760685,-0.121328408,true,false,1279287120000,,false,7,12,20
158,163,"Sloane Avenue, Knightsbridge",003461,51.4931848,-0.167894973,true,false,1279287300000,,false,10,20,30
159,164,"Cleveland Gardens, Bayswater",001178,51.515607,-0.183118788,true,false,1279287600000,,false,10,5,16
160,165,"Orsett Terrace, Bayswater",002585,51.517932,-0.183716959,true,false,1279287960000,,false,8,7,15
161,167,"Eccleston Place, Victoria",003465,51.49395092,-0.147624377,true,false,,,false,4,13,19
162,168,"Argyll Road, Kensington",003463,51.50040123,-0.195455928,true,false,1279289400000,,false,4,15,19
163,169,"Porchester Place, Paddington",003477,51.51474612,-0.165164288,true,false,1279289760000,,false,13,4,18
164,170,"Hardwick Street, Clerkenwell",001057,51.52784273,-0.108068155,true,false,1279290180000,,false,13,17,30
165,171,"Collingham Gardens, Earl's Court",003459,51.4916156,-0.186753859,true,false,1279291200000,,false,13,0,14
166,172,"Sumner Place, South Kensington",001124,51.49121192,-0.173715911,true,false,1279291500000,,false,11,8,19
167,173,"Waterloo Road, South Bank",001176,51.50486,-0.113001,true,false,1279292700000,,false,3,12,15
168,174,"Strand, Strand",001100,51.512529,-0.115163,true,false,1279295940000,,false,6,30,36
169,175,"Appold Street, Liverpool Street",000997,51.52174384,-0.0811189,true,false,1279296660000,,false,6,20,26
170,176,"Gloucester Terrace, Bayswater",001173,51.51791921,-0.188098863,true,false,1279297560000,,false,9,13,23
171,177,"Ashley Place, Victoria",001122,51.49616092,-0.140947636,true,false,1279297740000,,false,15,9,25
172,178,"Warwick Square, Pimlico",003460,51.48985626,-0.141923621,true,false,1279297920000,,false,11,8,19
173,180,"North Audley Street, Mayfair",001126,51.5129118,-0.153645496,true,false,1279298220000,,false,3,14,17
174,181,"Belgrave Square, Belgravia",003473,51.49941247,-0.152317537,true,false,1279298460000,,false,12,9,21
175,182,"Bell Street , Marylebone",001166,51.52202903,-0.165842551,true,false,1279363140000,,false,11,4,18
176,183,"Riverlight North, Nine Elms",001165,51.482362,-0.13612398,true,false,1279364160000,1372759560000,false,17,6,23
177,184,"Portland Place, Marylebone",001164,51.52071513,-0.14521173,true,false,1279364280000,,false,3,30,34
